order_id,product_id,quantity,unit_price,shipping_cost
ORD006648,PROD09091,1,45.0,12.98
ORD005472,PROD03790,1,74.0,23.32
ORD008122,PROD09611,1,47.9,8.88
ORD008568,PROD02763,1,21.99,11.85
ORD021272,PROD06468,1,119.99,44.4
ORD002910,PROD10488,1,48.9,16.6
ORD003420,PROD06595,1,219.9,16.98
ORD018956,PROD10528,1,289.0,26.33
ORD024004,PROD08523,1,59.9,23.35
ORD008891,PROD08320,3,21.33,45.3
ORD022289,PROD10298,1,39.0,16.11
ORD017422,PROD08087,1,809.1,44.29
ORD023569,PROD01743,1,54.0,8.54
ORD000628,PROD08459,1,99.0,13.71
ORD010345,PROD07956,2,18.99,15.56
ORD003022,PROD07620,1,29.99,15.1
ORD008581,PROD06133,1,74.9,16.49
ORD021203,PROD06901,1,44.9,23.22
ORD003917,PROD03631,1,94.9,18.54
ORD008225,PROD08056,1,88.34,21.11
ORD020491,PROD07965,1,155.0,14.84
ORD000735,PROD08024,1,249.9,34.23
ORD015823,PROD03388,1,60.6,17.67
ORD017929,PROD05514,1,225.0,67.24
ORD022739,PROD02912,1,159.0,27.19
ORD019893,PROD05466,2,102.9,28.9
ORD018881,PROD03640,1,63.9,16.89
ORD003095,PROD01295,1,59.9,9.94
ORD003095,PROD08219,1,59.9,9.94
ORD022265,PROD09960,1,87.0,12.11
ORD008345,PROD10412,2,69.0,37.16
ORD015029,PROD06704,1,119.0,15.28
ORD008256,PROD04972,1,39.9,18.08
ORD013746,PROD02477,1,277.0,35.74
ORD023839,PROD05440,1,66.99,27.75
ORD000599,PROD06035,1,179.99,85.97
ORD020767,PROD01213,1,110.32,8.03
ORD002905,PROD02536,1,49.0,11.85
ORD012318,PROD03052,1,159.9,61.18
ORD022234,PROD00583,1,129.99,13.93
ORD023744,PROD08459,2,92.0,35.78
ORD004690,PROD03607,4,33.89,33.6
ORD007401,PROD03232,1,149.0,40.37
ORD000053,PROD11210,2,179.9,30.02
ORD016704,PROD07163,1,109.9,12.27
ORD019310,PROD03884,1,96.0,14.84
ORD006460,PROD12881,1,49.99,18.12
ORD006460,PROD09759,2,24.99,27.16
ORD008724,PROD08778,1,14.9,8.27
ORD012893,PROD05729,1,139.0,87.28
ORD003769,PROD05965,1,40.35,13.71
ORD017781,PROD00345,1,469.0,20.85
ORD004059,PROD07427,1,59.0,16.17
ORD015067,PROD04288,1,99.0,43.06
ORD005397,PROD05012,1,179.98,12.46
ORD016768,PROD10073,1,137.0,15.71
ORD020502,PROD07696,1,49.9,7.39
ORD008164,PROD07068,1,148.9,13.95
ORD004153,PROD07369,1,179.0,16.0
ORD002882,PROD05896,1,165.0,19.03
ORD003942,PROD03658,1,90.0,9.44
ORD022279,PROD08869,2,9.99,30.46
ORD008027,PROD00463,1,38.0,7.53
ORD013351,PROD08876,1,18.0,7.87
ORD014832,PROD01833,1,269.99,39.41
ORD020651,PROD00214,1,89.99,14.8
ORD004809,PROD12704,1,133.74,12.44
ORD016296,PROD03168,1,86.8,7.86
ORD020756,PROD08271,1,16.9,15.1
ORD014216,PROD05588,1,84.99,15.34
ORD011031,PROD08842,1,159.49,8.86
ORD021787,PROD08340,1,109.9,12.27
ORD000916,PROD08541,1,35.9,12.48
ORD009677,PROD08066,1,37.0,19.32
ORD023483,PROD01697,1,21.8,12.48
ORD017457,PROD04220,2,139.85,33.22
ORD011068,PROD03554,1,199.0,67.69
ORD016898,PROD00038,1,32.0,7.39
ORD007999,PROD03484,1,110.0,18.35
ORD011103,PROD05357,1,1050.61,25.13
ORD017015,PROD06966,1,106.9,18.0
ORD007718,PROD04109,1,44.55,11.74
ORD009890,PROD12887,1,19.9,14.1
ORD017868,PROD01411,1,59.9,9.17
ORD001865,PROD03407,1,160.0,19.0
ORD020676,PROD06145,1,128.9,9.26
ORD017507,PROD04164,2,27.9,41.6
ORD018639,PROD03501,1,190.83,12.84
ORD003464,PROD06651,1,104.0,14.82
ORD012992,PROD07477,1,79.0,15.3
ORD003636,PROD05751,1,419.9,17.69
ORD014293,PROD06201,1,49.9,14.1
ORD021621,PROD12650,1,124.99,21.88
ORD015421,PROD12595,1,49.9,13.37
ORD023682,PROD04014,1,69.99,14.8
ORD000746,PROD12908,1,69.0,17.22
ORD007365,PROD05273,1,134.9,21.43
ORD011257,PROD10940,1,189.0,32.07
ORD021552,PROD07498,1,45.0,35.67
ORD003342,PROD09273,1,19.99,10.96
ORD018370,PROD09022,1,29.5,20.84
ORD001376,PROD05659,1,18.25,17.6
ORD012527,PROD06977,1,154.9,15.25
ORD022633,PROD02911,1,49.89,8.72
ORD005320,PROD12564,1,84.0,10.9
ORD005463,PROD12200,1,199.0,20.12
ORD010632,PROD02914,1,27.99,8.72
ORD003793,PROD11049,1,279.9,20.65
ORD012678,PROD01788,1,14.9,15.23
ORD020861,PROD12595,2,49.0,35.34
