product_id,product_name,product_category,price
PROD00001,Perfumery Product 00001,Perfumery,10.91
PROD00002,Art Product 00002,Art,248.0
PROD00003,Baby Product 00003,Baby,112.3
PROD00004,Cool Stuff Product 00004,Cool Stuff,968.0
PROD00005,Furniture Decor Product 00005,Furniture Decor,9.99
PROD00006,Bed Bath Table Product 00006,Bed Bath Table,71.99
PROD00007,Baby Product 00007,Baby,239.0
PROD00008,Musical Instruments Product 00008,Musical Instruments,207.25
PROD00009,Sports Leisure Product 00009,Sports Leisure,26.7
PROD00010,Perfumery Product 00010,Perfumery,16.9
PROD00011,Computers Accessories Product 00011,Computers Accessories,69.9
PROD00012,Furniture Decor Product 00012,Furniture Decor,111.9
PROD00013,Bed Bath Table Product 00013,Bed Bath Table,145.0
PROD00014,Baby Product 00014,Baby,48.9
PROD00015,Housewares Product 00015,Housewares,69.9
PROD00016,Computers Accessories Product 00016,Computers Accessories,38.9
PROD00017,Office Furniture Product 00017,Office Furniture,79.99
PROD00018,Sports Leisure Product 00018,Sports Leisure,19.9
PROD00019,Auto Product 00019,Auto,115.0
PROD00020,Cool Stuff Product 00020,Cool Stuff,610.0
PROD00021,Furniture Decor Product 00021,Furniture Decor,39.9
PROD00022,Sports Leisure Product 00022,Sports Leisure,1090.0
PROD00023,Cool Stuff Product 00023,Cool Stuff,49.9
PROD00024,Baby Product 00024,Baby,229.0
PROD00025,Fashion Bags Accessories Product 00025,Fashion Bags Accessories,79.9
PROD00026,Stationery Product 00026,Stationery,58.0
PROD00027,Sports Leisure Product 00027,Sports Leisure,99.9
PROD00028,Computers Product 00028,Computers,599.0
PROD00029,Perfumery Product 00029,Perfumery,307.0
PROD00030,Watches Gifts Product 00030,Watches Gifts,149.0
PROD00031,Health Beauty Product 00031,Health Beauty,254.0
PROD00032,Bed Bath Table Product 00032,Bed Bath Table,180.0
PROD00033,Perfumery Product 00033,Perfumery,399.9
PROD00034,Bed Bath Table Product 00034,Bed Bath Table,89.9
PROD00035,Bed Bath Table Product 00035,Bed Bath Table,649.9
PROD00036,Furniture Decor Product 00036,Furniture Decor,119.9
PROD00037,Health Beauty Product 00037,Health Beauty,126.0
PROD00038,Health Beauty Product 00038,Health Beauty,32.0
PROD00039,Watches Gifts Product 00039,Watches Gifts,65.0
PROD00040,Bed Bath Table Product 00040,Bed Bath Table,86.45
PROD00041,Housewares Product 00041,Housewares,46.99
PROD00042,Sports Leisure Product 00042,Sports Leisure,49.9
PROD00043,Home Construction Product 00043,Home Construction,119.85
PROD00044,Pet Shop Product 00044,Pet Shop,399.0
PROD00045,Bed Bath Table Product 00045,Bed Bath Table,117.99
PROD00046,Telephony Product 00046,Telephony,39.99
PROD00047,Fashion Bags Accessories Product 00047,Fashion Bags Accessories,13.3
PROD00048,Sports Leisure Product 00048,Sports Leisure,209.9
PROD00049,Art Product 00049,Art,250.0
PROD00050,Bed Bath Table Product 00050,Bed Bath Table,99.88
PROD00051,Consoles Games Product 00051,Consoles Games,29.99
PROD00052,Cool Stuff Product 00052,Cool Stuff,125.0
PROD00053,Consoles Games Product 00053,Consoles Games,703.9
PROD00054,Watches Gifts Product 00054,Watches Gifts,99.0
PROD00055,Watches Gifts Product 00055,Watches Gifts,319.9
PROD00056,Bed Bath Table Product 00056,Bed Bath Table,29.99
PROD00057,Auto Product 00057,Auto,179.49
PROD00058,Toys Product 00058,Toys,189.0
PROD00059,Telephony Product 00059,Telephony,24.89
PROD00060,Housewares Product 00060,Housewares,54.9
PROD00061,Stationery Product 00061,Stationery,131.0
PROD00062,Telephony Product 00062,Telephony,29.99
PROD00063,Computers Accessories Product 00063,Computers Accessories,159.99
PROD00064,Perfumery Product 00064,Perfumery,99.8
PROD00065,Garden Tools Product 00065,Garden Tools,739.0
PROD00066,Fashion Underwear Beach Product 00066,Fashion Underwear Beach,59.9
PROD00067,Electronics Product 00067,Electronics,12.9
PROD00068,Housewares Product 00068,Housewares,47.9
PROD00069,Auto Product 00069,Auto,109.9
PROD00070,Construction Tools Construction Product 00070,Construction Tools Construction,159.75
PROD00071,Health Beauty Product 00071,Health Beauty,249.99
PROD00072,Bed Bath Table Product 00072,Bed Bath Table,69.99
PROD00073,Cool Stuff Product 00073,Cool Stuff,395.0
PROD00074,Stationery Product 00074,Stationery,43.99
PROD00075,Stationery Product 00075,Stationery,75.5
PROD00076,Air Conditioning Product 00076,Air Conditioning,99.0
PROD00077,Bed Bath Table Product 00077,Bed Bath Table,59.0
PROD00078,Pet Shop Product 00078,Pet Shop,735.0
PROD00079,Bed Bath Table Product 00079,Bed Bath Table,24.9
PROD00080,Perfumery Product 00080,Perfumery,56.99
PROD00081,Electronics Product 00081,Electronics,32.9
PROD00082,Toys Product 00082,Toys,44.99
PROD00083,Baby Product 00083,Baby,270.0
PROD00084,Bed Bath Table Product 00084,Bed Bath Table,64.9
PROD00085,Housewares Product 00085,Housewares,145.0
PROD00086,Sports Leisure Product 00086,Sports Leisure,65.9
PROD00087,Cool Stuff Product 00087,Cool Stuff,19.5
PROD00088,Sports Leisure Product 00088,Sports Leisure,115.0
PROD00089,Housewares Product 00089,Housewares,18.95
PROD00090,Health Beauty Product 00090,Health Beauty,29.89
PROD00091,Bed Bath Table Product 00091,Bed Bath Table,286.0
PROD00092,Kitchen Dining Laundry Garden Furniture Product 00092,Kitchen Dining Laundry Garden Furniture,74.9
PROD00093,Electronics Product 00093,Electronics,13.65
PROD00094,Sports Leisure Product 00094,Sports Leisure,34.0
PROD00095,Housewares Product 00095,Housewares,74.85
